"x","y","Y","M","X","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20"
"1","A1","B1",-0.0543923907434158,-0.917706318465529,-1.59729310486595,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1
"2","A1","B1",-0.765753027727046,-1.3722674200341,-0.153168387104047,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0
"3","A1","B1",-0.401953205722362,0.618368513759882,0.334564634833299,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"4","A1","B1",0.430908803850428,0.296875593919819,1.189528550195,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1
"5","A1","B1",-0.801720671465991,-1.26292894964047,0.306310397037737,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"6","A1","B1",1.57788079529399,2.75881774825451,2.40824123182896,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1
"7","A1","B1",-0.578876690427164,-1.60138789571253,0.315444062036951,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1
"8","A1","B1",-0.381428536676434,1.16835280144625,0.293445719527722,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1
"9","A1","B1",0.537682427763357,0.692845325573142,-0.623554506118742,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0
"10","A1","B1",0.837823699326796,1.89157657930531,0.303458321740179,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1
"11","A1","B1",0.146973091092223,-0.0899643263382624,0.515082016399601,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1
"12","A1","B1",-3.01136282851382,-1.84731381339567,-1.19210416271399,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1
"13","A1","B1",-0.791807643442323,-0.332213790943396,0.0226463960430522,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1
"14","A1","B1",-1.53905829826172,-0.088310281019668,0.214594373154756,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
"15","A1","B1",1.4315352794677,1.04978702708753,-0.352264039334286,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0
"16","A1","B1",-0.683787084526086,-1.694581218595,-0.362919830803492,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1
"17","A1","B1",1.38284843807234,1.06645748861683,0.467002404438625,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1
"18","A1","B1",-0.648720059149443,1.82468490927871,0.00628836068326953,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0
"19","A1","B1",-0.90875289853381,-2.04750425839341,-1.02215120842515,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
"20","A1","B1",0.390345259345007,-1.04661362497188,-0.641108239922629,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1
"21","A1","B1",-1.06741403063666,-1.08018930168489,-0.456626594389946,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1
"22","A1","B1",-2.76355664739918,-1.84621016544703,0.337364883636778,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1
"23","A1","B1",0.45498135087326,0.957074638620322,1.08856474009516,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1
"24","A1","B1",2.35917634809597,1.08876691686606,2.25719037327623,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1
"25","A1","B1",2.39746259883635,2.21318112936823,0.533702068901102,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"26","A1","B1",-2.3079946708212,-2.62705247186627,-1.15819545767514,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0
"27","A1","B1",0.834183158556588,0.630306213627259,0.00928290126405886,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1
"28","A1","B1",-1.05595220967981,-0.396556476243502,-0.748288306019921,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0
"29","A1","B1",-0.386420634312463,-1.09091367041234,-0.815503196510308,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"30","A1","B1",-0.867386627894583,1.16251990384622,0.603683762729431,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1
"31","A1","B1",-1.64014594440755,-0.748857813146489,-0.0957545155134541,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"32","A1","B1",-3.69014508395504,-1.99187796063888,-1.75236953278778,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1
