,Rank,score,p_{WT},Sg description,size,dir_eff,indir_eff
0,1,23.5378644855238,0.002167887058385225,hincfel=='Living comfortably on present income',12427,0.06963067369912931,0.042623619122138315
1,2,21.9028063188052,0.005076611018728363,edulvla=='Tertiary education completed (ISCED 5-6)',12233,0.07971490997203723,0.04102108012408493
2,3,20.9857349873931,0.008190070018400114,edulvla=='Less than lower secondary education (ISCED 0-1)',6127,-0.12091537075556447,0.11171793217944521
3,4,12.0825539452137,0.9008562027070047,maritala=='Married',23933,0.07218528190611917,0.04707395800923892
4,5,11.5693380694668,1.1867545947605804,trstlgl=='9',2362,0.017706337917147,0.028533909038361147
5,6,11.473365384799,1.2496326876816073,livecntr=='6-10 years ago',399,0.12921457851447585,-0.048725017706018586
6,7,11.0297407586687,1.5870118354948595,livecntr=='1-5 years ago',440,0.20063934156194727,0.0003690649686388345
7,8,10.285682312307,2.37297589666754,agea<29.0,9132,0.07867412314704919,0.04105853621772441
8,9,10.2630924986594,2.4022083966314782,uempli=='Marked',944,0.18698002953782655,0.1667056983867926
9,10,10.2630924986594,2.4022083966314782,uempli=='Not marked',46155,-0.0031732988141914722,0.061683814048758216
